,elbo
334,97.67866516113281
335,71.95846557617188
336,89.96821594238281
337,87.66059875488281
338,106.5753173828125
339,99.52328491210938
340,74.067626953125
341,86.59683227539062
342,83.18161010742188
343,93.5196533203125
344,101.98307800292969
345,84.75431823730469
346,92.42811584472656
347,94.8131103515625
348,104.10749816894531
349,98.65042114257812
350,74.73054504394531
351,127.07518005371094
352,105.97549438476562
353,116.11036682128906
354,114.93592834472656
355,125.75566101074219
356,94.40963745117188
357,98.17799377441406
358,103.89207458496094
359,107.13568115234375
360,91.68515014648438
361,93.85404968261719
362,79.44677734375
363,119.42680358886719
364,95.13555908203125
365,71.84431457519531
366,103.475341796875
367,102.39205932617188
368,85.973388671875
369,106.4241943359375
370,123.96656799316406
371,134.07850646972656
372,99.313720703125
373,123.83433532714844
374,105.71163940429688
375,89.48313903808594
376,127.95335388183594
377,121.36062622070312
378,105.50218200683594
379,106.28230285644531
380,107.888427734375
381,91.12545776367188
382,94.12559509277344
383,118.22048950195312
384,83.66859436035156
385,93.595703125
386,107.06471252441406
387,72.85981750488281
388,102.02214050292969
389,81.30158996582031
390,110.39483642578125
391,105.96527099609375
392,90.86102294921875
393,129.29176330566406
394,63.509429931640625
395,104.06886291503906
396,76.01934814453125
397,91.53169250488281
398,94.65341186523438
399,110.97509765625
400,96.20095825195312
401,72.22886657714844
402,117.13333129882812
403,71.78804016113281
404,142.9583740234375
405,100.027587890625
406,112.15013122558594
407,93.81044006347656
408,90.074462890625
409,111.49668884277344
410,99.554931640625
411,86.44412231445312
412,103.77398681640625
413,108.06147766113281
414,95.88580322265625
415,84.49562072753906
416,90.207763671875
417,94.40827941894531
418,93.70256042480469
419,114.58853149414062
420,97.2471923828125
421,100.25765991210938
422,72.88710021972656
423,103.17295837402344
424,94.04986572265625
425,75.99583435058594
426,104.79656982421875
427,98.42581176757812
428,90.16142272949219
429,100.59588623046875
430,107.06529235839844
431,116.12200927734375
432,106.83903503417969
433,109.04679870605469
434,95.6722412109375
435,109.86167907714844
436,86.26466369628906
437,75.98554992675781
438,119.8885498046875
439,99.92237854003906
440,129.1942596435547
441,117.99003601074219
442,91.15159606933594
443,103.89132690429688
444,103.60005187988281
445,110.62590026855469
446,120.34713745117188
447,99.0430908203125
448,124.82310485839844
449,80.08164978027344
450,79.46530151367188
451,94.97337341308594
452,101.78938293457031
453,97.44587707519531
454,95.92344665527344
455,111.59834289550781
456,129.0723419189453
457,98.058349609375
458,71.45140075683594
459,98.22026062011719
460,134.07223510742188
461,91.52044677734375
462,105.57699584960938
463,105.68673706054688
464,85.38267517089844
465,96.80300903320312
466,124.58151245117188
467,111.96556091308594
468,111.9993896484375
469,109.60415649414062
470,117.70660400390625
471,119.09646606445312
472,97.12423706054688
473,82.73155212402344
474,114.41275024414062
475,129.96514892578125
476,117.56182861328125
477,92.15705871582031
478,91.73985290527344
479,120.87020874023438
480,89.13250732421875
481,111.33686828613281
482,138.89114379882812
483,83.41294860839844
484,106.49537658691406
485,101.35160827636719
486,100.4637451171875
487,119.94847106933594
488,114.36720275878906
489,92.32406616210938
490,104.048828125
491,95.51779174804688
492,83.44735717773438
493,104.20146179199219
494,97.99833679199219
495,105.61767578125
496,112.70700073242188
497,103.93415832519531
498,113.40507507324219
499,113.02410888671875
500,98.19998168945312
